1764117224083,hunter,116,Van,writing,0,0,INIT,54667
1764117225904,hunter,116,,radio,1,0,SWAP,writing->radio
1764117225913,hunter,116,Van,radio,1,0,MOVE,Hallway
1764117226021,hunter,116,Hallway,radio,2,0,MOVE,Boy's Bedroom
1764117226224,hunter,116,Boy's Bedroom,radio,4,0,MOVE,Hallway
1764117226334,hunter,116,Hallway,radio,5,0,MOVE,Bathroom
1764117226464,hunter,116,Bathroom,radio,6,0,MOVE,Hallway
1764117226574,hunter,116,Hallway,radio,7,0,MOVE,Boy's Bedroom
1764117226713,hunter,116,Boy's Bedroom,radio,8,0,MOVE,Hallway
1764117226826,hunter,116,Hallway,radio,9,0,MOVE,Boy's Bedroom
1764117226930,hunter,116,Boy's Bedroom,radio,10,0,MOVE,Hallway
1764117227043,hunter,116,Hallway,radio,11,0,MOVE,Basement
1764117227147,hunter,116,Basement,radio,12,0,MOVE,Basement Hallway
1764117227251,hunter,116,Basement Hallway,radio,13,0,MOVE,Right Storage Room
1764117227356,hunter,116,Right Storage Room,radio,14,0,MOVE,Basement Hallway
1764117227460,hunter,116,Basement Hallway,radio,15,0,EXIT,bored
